created_at,entry_id,Temperature,PH,Turbidity,Flow,TDS,Pressure,Volume,Colar
2022-02-08 11:35:26 UTC,323,22.19,0.25,3001.98,0,0,505.6,1.21,6459
2022-02-08 11:35:53 UTC,324,22.13,0.28,3000,1,0,505.93,1.23,6443
2022-02-08 11:36:20 UTC,325,22.13,0.27,3000,2,258.24,506.23,1.3,6343
2022-02-08 11:36:47 UTC,326,22,0.3,3000,2,549.57,504.95,1.45,6407
2022-02-09 11:19:36 UTC,327,23.81,5.98,3000,0,0,508.8,1.14,7138
2022-02-09 11:20:04 UTC,328,23.81,5.38,3000,0,0,509.45,1.01,3566
2022-02-09 11:20:31 UTC,329,23.81,4.59,3000,0,0,514.51,0.33,2727
2022-02-09 11:20:59 UTC,330,23.81,4.33,3000,0,0,514.25,0.33,2729
2022-02-09 11:33:05 UTC,331,22.87,2.66,3000,0,0,577.44,0.67,6929
2022-02-09 11:33:33 UTC,332,22.87,2.4,3003.58,0,0,577.14,0.56,6753
2022-02-09 11:34:18 UTC,333,24.69,2.44,3001.98,0,0,576.21,0.56,6671
2022-02-09 11:34:45 UTC,334,25.06,2.35,3000,0,0,575.08,0.65,6769
2022-02-09 11:35:40 UTC,336,25.06,2.77,3000,1,0,568.27,0.82,6818
2022-02-09 11:36:08 UTC,337,25.06,2.65,3000,1,0,565.18,1.47,6761
2022-02-09 11:36:35 UTC,338,25.06,2.18,3000,1,0,561.68,0.85,6743
2022-02-09 11:37:03 UTC,339,25.06,2.25,3000,1,258.62,558.4,0.43,6770
2022-02-09 11:37:31 UTC,340,25.06,2.52,3000,1,553.7,554.28,2.88,6680
2022-02-09 11:37:48 UTC,341,25.06,2.36,3000,1,553.7,552.75,2.91,6618
2022-02-09 11:38:15 UTC,342,25.06,2.37,3004.29,1,553.7,550.07,1.58,6810
2022-02-09 11:38:43 UTC,343,25.06,2.76,3003.33,0,553.7,547.34,5.73,6777
2022-02-09 11:39:10 UTC,344,25.06,2.49,3000,1,553.7,544.42,1.3,6902
2022-02-09 11:39:30 UTC,345,25.06,2.24,3000,1,553.7,538.24,1.36,6897
2022-02-09 11:39:57 UTC,346,25,2.35,3000,2,554.56,534.78,2.11,6427
2022-02-09 11:40:25 UTC,347,24.94,2.18,3000,1,555.43,531.97,0.43,6504
2022-02-09 11:40:52 UTC,348,24.94,2.31,3000,1,546.23,526.99,0.26,6595
2022-02-10 10:31:15 UTC,212,24.56,6.15,3000,0,0,567.79,0.1,5517
2022-02-10 05:31:42 UTC,213,24.56,5.82,1638.48,0,0,573.25,0.08,5314
2022-02-10 05:32:13 UTC,214,24.56,5.81,1638.48,3,0,572.98,0.07,5305
2022-02-10 05:33:28 UTC,215,24.56,5.8,2112.92,3,0,572.51,0.09,6620
2022-02-10 05:33:55 UTC,216,24.5,6.05,1784.32,3,0,571.39,0.09,5505
2022-02-10 05:34:21 UTC,217,24.5,5.7,1819.5,3,0,572.19,0.11,5959
2022-02-10 05:34:43 UTC,218,24.5,5.78,1784.32,3,252.32,572,0.09,5416
2022-02-10 05:35:11 UTC,219,24.5,6.09,1484.4,2,524.87,571.45,0.11,5152
2022-02-10 05:35:38 UTC,220,24.5,6.09,1675.71,2,539.93,571.02,0.1,5363
2022-02-10 05:36:05 UTC,221,24.5,5.98,1638.48,2,552.22,570.58,0.1,5292
2022-02-10 05:36:32 UTC,222,24.5,6.17,1600.73,2,555.32,570,0.11,5281
2022-02-10 05:36:59 UTC,223,24.5,6.03,175.42,2,560.01,569.87,0.11,5299
2022-02-10 05:37:26 UTC,224,24.44,6.13,2201.46,2,588.11,568.83,0.11,5245
2022-02-10 05:37:54 UTC,225,24.44,6.19,2172.46,2,594.66,566.71,0.12,5259
2022-02-10 05:38:21 UTC,226,24.44,6.81,2172.46,2,594.66,564.28,0.14,5311
2022-02-10 05:38:46 UTC,227,24.44,6.89,2172.46,2,588.11,561.36,0.14,5400
2022-02-10 05:39:14 UTC,228,24.44,6.6,2229.95,1,573.57,557.57,0.13,5494
2022-02-10 05:39:41 UTC,229,24.44,6.6,2172.46,1,560.9,554.08,0.16,5703
2022-02-10 05:40:08 UTC,230,24.44,6.2,2201.46,1,557.76,550.33,0.18,5510
2022-02-10 05:40:34 UTC,231,24.44,6,2172.46,1,557.76,548.07,0.18,5478
2022-02-10 05:41:01 UTC,232,24.44,5.98,2172.46,1,554.64,544.62,0.19,5575
2022-02-10 05:41:28 UTC,233,24.37,5.98,2142.95,1,0,540.64,0.2,5499
2022-02-10 05:41:55 UTC,234,24.37,6.18,2142.95,1,0,538.65,0.2,5451
2022-02-10 05:42:22 UTC,235,24.37,6.19,2172.46,1,0,536.14,0.21,5462
2022-02-10 05:42:49 UTC,236,24.37,6.07,2142.95,0,0,532.14,0.22,5481
2022-02-10 05:43:19 UTC,237,24.37,5.01,2142.95,0,0,524.64,0.24,5713
